elevation,aspect,slope,horz dist water,vert dist water,horz dist road,hillshade 9am,hillshade noon,hillshade 3pm,horz dist fire,wilderness area,cover
2994,351,11,295,28,1749,199,221,159,1608,0,2
3307,48,31,323,103,1805,214,157,56,2466,0,1
2673,107,11,488,36,924,239,226,116,2731,1,2
2726,307,5,180,10,2341,207,237,169,4348,1,2
3238,11,15,180,23,5460,203,209,141,576,1,1
3230,151,13,67,10,3429,237,239,130,4042,1,1
3292,0,3,390,27,5790,215,234,156,624,1,2
3091,203,21,942,96,3153,204,253,176,2277,0,2
3452,184,12,618,117,2704,222,248,157,1493,0,1
3123,216,12,60,0,2315,207,252,179,799,0,2
3364,288,8,703,72,2368,197,239,182,1082,0,1
2683,31,14,382,-8,743,216,209,126,212,0,2
3080,306,8,671,46,966,197,235,178,1020,0,2
2910,26,22,30,2,503,203,186,111,1706,0,2
2762,52,14,175,30,2910,226,209,113,693,0,2
2900,211,13,162,45,4068,209,252,177,3601,1,2
3224,18,12,212,36,618,210,214,139,1184,0,2
3023,236,38,503,226,2314,129,241,227,1283,0,1
3246,8,7,350,151,4968,212,226,152,1710,1,1
3035,45,4,85,0,1451,221,231,146,2835,1,1
3114,352,19,685,246,685,183,204,156,1724,1,1
2454,49,26,190,67,607,221,175,73,649,0,2
3006,291,3,30,1,5520,210,239,167,2156,1,1
3061,234,13,765,24,2173,198,251,189,1050,0,2
2939,292,3,331,8,1878,212,238,165,1091,0,1
3077,166,15,285,53,3543,232,244,139,2723,1,1
3081,18,10,532,-20,2724,212,219,143,850,0,1
3009,278,29,182,83,2527,128,230,234,2658,0,2
3044,48,12,240,56,2225,224,214,121,2721,0,1
3040,210,9,30,2,706,213,249,171,942,0,2
2972,109,12,190,17,4203,241,226,113,2084,1,2
3223,354,7,150,15,5581,208,227,157,892,1,1
3118,153,17,920,70,3009,238,239,125,2621,0,2
2774,117,15,120,-27,782,244,225,106,2185,1,2
2772,27,1,295,14,2671,218,236,155,5932,1,2
2953,122,15,300,31,4214,244,227,109,4469,1,2
2783,97,20,212,50,3005,248,207,79,1368,0,2
2863,49,5,201,10,3331,222,229,143,3125,1,2
2839,322,11,0,0,1189,191,229,177,2298,0,2
2911,47,13,120,16,644,224,212,120,1584,0,2
2721,356,11,0,0,2601,203,221,156,5356,1,2
3112,16,10,180,33,1933,211,219,143,964,0,1
3191,143,7,277,19,4392,231,239,140,2845,1,1
3072,100,21,182,49,2684,249,206,74,1383,0,2
3232,205,10,511,122,1528,215,249,169,2444,0,1
3109,318,7,524,55,2311,202,234,171,2244,0,2
3198,348,14,644,175,942,192,216,161,1907,0,1
2879,9,6,272,57,2462,214,228,152,2181,1,2
3226,297,3,424,2,365,210,238,166,1418,0,2
2932,122,21,108,32,5595,250,219,87,4070,1,2
2990,267,9,404,97,5331,197,244,186,947,1,2
3263,317,18,270,42,1950,171,222,190,1953,0,2
2599,43,17,30,8,1276,221,200,108,947,0,2
2890,58,15,541,102,1140,230,208,108,1654,0,2
2837,352,5,0,0,4696,211,231,158,4630,1,2
3102,73,17,339,46,5105,238,204,91,1782,1,1
3029,68,16,365,91,2164,235,207,99,1784,0,2
2964,25,22,324,121,1898,204,188,113,2772,0,2
3294,290,28,42,26,5491,132,223,225,785,1,1
3173,29,10,295,37,2938,217,219,137,1231,1,1
3291,299,26,912,200,3765,140,221,217,2282,0,1
3199,100,11,658,178,2539,238,226,118,2951,0,1
3236,30,10,90,6,3783,217,218,136,1536,1,1
3220,74,12,301,-12,1827,234,217,114,1530,1,2
2767,60,8,242,37,2610,226,224,132,2040,0,2
2962,17,9,212,43,4702,213,221,145,6012,1,2
2914,39,6,212,8,1766,220,227,142,1983,1,2
2995,288,2,242,10,5125,213,239,164,5183,1,1
3119,154,13,323,45,124,235,241,134,1652,0,2
3189,257,12,210,31,2797,192,247,193,767,0,1
3123,56,3,182,7,360,222,232,146,2218,1,1
2659,65,4,42,-8,2697,223,231,143,1071,0,2
2996,59,11,30,4,3298,228,217,120,882,0,1
3177,78,18,376,34,1012,241,204,86,2021,0,1
3147,357,9,30,6,4039,206,224,156,218,0,1
3070,233,11,510,63,5961,201,250,186,1674,1,2
2959,12,15,170,-2,6022,203,207,139,3327,1,2
2929,11,19,150,50,1320,197,199,134,1920,0,2
3285,86,11,180,-10,4056,236,222,117,2214,1,1
2913,207,13,306,4,5707,212,251,173,5390,1,2
2604,254,6,85,-4,430,206,244,176,1222,1,2
3170,216,6,180,-8,3171,214,246,169,1273,0,2
3279,46,24,339,89,907,219,181,84,1771,0,1
3153,318,17,201,53,3644,174,223,188,3240,0,1
2935,119,27,228,101,890,254,205,61,1130,0,2
2941,334,13,384,37,3144,190,222,171,1994,0,1
2916,225,8,85,10,5042,209,248,176,1645,1,2
2840,152,11,30,3,4754,234,240,135,4568,1,2
2700,93,5,301,0,582,228,232,138,1734,1,2
2958,109,11,350,49,3547,239,228,119,2132,1,2
2806,143,16,255,74,1593,241,235,118,2311,0,2
2755,329,13,30,13,3570,187,223,175,5734,1,1
2870,153,3,268,112,3887,223,239,151,5484,1,2
3165,326,12,67,-13,1889,191,227,175,1879,1,1
2932,267,32,313,135,2338,123,233,239,1385,0,1
2982,343,6,437,6,5279,208,231,161,1530,1,2
3186,212,7,458,-13,3051,214,247,169,67,0,2
3237,343,10,95,15,4439,200,225,163,618,0,1
2614,17,28,60,21,1591,185,170,109,6769,1,2
2884,37,9,379,36,1546,220,219,134,2813,0,1
2762,295,23,180,84,2118,150,227,215,153,0,2
3013,98,13,95,-4,1681,240,222,110,1806,1,2
3530,111,20,934,245,2525,250,214,84,1103,1,1
3198,144,10,577,40,598,235,238,133,824,0,1
3229,175,13,638,25,1092,227,246,149,2318,0,2
2848,123,20,95,20,1919,249,221,91,1626,0,2
3204,220,16,595,128,6006,200,253,187,2249,1,2
3017,332,4,120,10,4493,211,235,162,685,1,2
3319,24,9,430,96,3309,216,222,142,2803,0,1
3097,347,13,216,16,3772,196,219,162,953,1,1
2572,30,18,67,9,726,212,199,118,1981,1,2
3104,142,13,90,-14,1878,238,237,126,2164,0,2
2826,283,5,124,6,1020,206,240,173,201,0,1
3292,164,16,331,78,937,233,243,136,2634,0,2
2811,343,16,108,30,3849,185,213,166,5463,1,2
2982,45,10,537,-2,4375,223,219,130,3302,1,1
2939,300,14,175,28,1110,181,234,193,2951,1,1
2639,160,18,60,13,3311,236,241,128,2483,0,1
3243,265,18,726,177,6208,173,245,210,1865,1,2
3361,54,4,604,109,1148,222,230,143,2577,0,1
3028,56,3,90,2,2966,222,232,146,1342,1,2
3218,302,6,108,11,1245,204,237,173,2640,0,1
2631,314,17,95,17,875,172,224,191,1731,1,2
3129,101,5,391,84,4915,228,233,139,872,1,2
2953,202,29,134,51,2022,194,251,175,2058,0,2
3017,75,9,400,50,4328,232,223,123,1871,1,2
3086,108,2,446,38,1733,223,236,149,2305,1,2
2968,305,13,430,158,1924,184,233,189,993,0,1
2653,117,9,67,0,1725,236,232,128,162,0,2
3227,176,30,270,24,2536,219,239,130,3178,1,2
2716,154,7,306,-9,1074,229,241,145,1276,1,2
2998,341,14,342,36,1591,189,218,167,2281,0,2
2743,180,18,124,36,684,224,248,150,2148,0,2
2827,348,23,85,22,1062,172,196,159,1883,0,2
2995,71,13,60,0,4562,234,214,110,2609,1,2
3113,268,7,180,17,1883,202,243,179,2605,0,1
3193,198,3,0,0,2241,218,242,160,2315,1,1
2777,343,13,30,3,1897,193,219,165,2796,1,2
2861,35,13,390,82,1448,218,211,127,2785,0,2
3217,47,23,430,69,721,220,183,86,2831,0,2
3060,153,19,408,140,1200,239,237,120,3132,1,1
2916,40,4,467,43,3086,220,231,147,3645,1,2
2997,124,5,424,83,4298,229,236,140,2051,1,2
2825,311,25,324,124,1110,145,214,205,2442,0,2
3343,20,22,330,123,2219,199,188,118,1110,0,1
3393,143,9,726,228,1506,233,238,136,1172,0,1
3101,358,21,42,12,1265,182,196,148,2563,0,1
2963,200,19,805,163,2640,209,253,171,1503,0,2
3041,316,14,30,7,3569,183,228,184,1015,0,1
3198,35,13,0,0,3303,218,210,125,3251,0,2
2962,0,16,192,-5,4468,194,208,149,2041,1,2
2903,225,21,85,17,2981,187,254,198,2133,0,2
3118,218,11,228,6,1829,208,250,177,743,0,1
2655,216,29,67,34,553,179,252,195,1416,0,2
3163,300,13,120,25,1390,183,234,191,2312,1,1
3004,0,7,765,118,1384,210,228,155,2041,0,2
2502,59,12,300,24,566,229,214,116,3554,1,2
2957,349,11,67,20,1660,199,221,160,577,0,2
2933,313,8,30,7,2520,198,234,175,514,0,2
2554,247,10,323,77,819,200,248,186,1112,0,2
3010,223,13,283,-30,2295,203,252,183,1187,0,2
2860,321,10,90,19,2741,194,230,176,2064,0,1
2984,41,4,716,124,1304,220,230,146,2206,0,2
2942,338,18,85,23,4476,179,212,171,5541,1,2
3075,347,3,180,21,2554,213,234,159,1956,0,2
2917,322,11,90,8,4310,191,229,177,4322,1,2
3144,313,22,335,68,3612,154,216,199,1399,0,1
2932,59,4,342,17,3851,223,231,143,5769,1,2
2982,108,8,457,17,4912,233,232,130,5440,1,2
3027,26,16,426,111,4658,211,204,125,3672,1,1
3270,292,10,437,80,840,191,238,187,474,0,1
2995,298,12,42,0,2304,185,236,190,1418,0,2
3184,22,4,268,26,1106,217,230,150,2016,0,1
2722,332,30,175,67,1590,137,187,182,1358,0,2
2479,300,23,210,93,805,150,224,211,1530,0,2
3159,106,23,134,27,2234,252,205,69,2151,1,1
2679,57,5,216,12,268,223,229,142,1068,0,2
3316,338,18,361,116,1565,178,211,171,2763,1,1
3281,276,18,319,68,4218,168,241,211,1642,0,1
3157,34,5,134,21,2522,219,228,146,1926,1,1
2747,225,1,134,27,1482,218,239,158,2393,1,2
3235,133,24,300,78,4054,249,221,85,2920,0,1
2973,1,9,376,113,2742,207,223,153,2445,1,2
2968,91,15,60,3,4690,242,215,99,2514,1,2
3180,268,7,216,30,5772,202,243,179,2257,1,2
3151,293,5,67,7,1218,205,239,173,499,0,1
3036,272,8,30,5,3030,198,243,184,1262,0,1
2927,72,14,85,15,3814,235,213,106,1800,1,2
3253,290,5,283,28,3583,206,239,172,1719,1,1
3024,55,16,212,13,4434,229,203,103,2819,1,2
3044,130,7,108,1,1026,233,236,136,2934,0,1
3047,322,14,404,-73,1909,184,226,181,2139,0,2
2705,36,23,108,28,2581,212,183,97,2301,0,2
2954,111,9,451,55,3358,236,230,125,2223,1,2
3323,22,11,540,44,997,213,217,139,2631,1,1
2811,72,11,210,-1,3248,233,218,116,2571,1,2
3050,63,11,492,141,4291,230,218,121,4615,1,1
3095,60,4,313,57,1749,223,231,144,2176,1,2
2940,94,6,335,55,3216,230,231,134,1816,1,2
3133,84,17,577,91,721,242,208,90,1650,1,1
2763,78,14,153,50,1359,237,214,105,2274,1,2
3129,98,12,228,58,270,240,223,111,836,0,2
3178,20,9,313,-35,2845,214,221,143,1465,1,1
2774,151,9,255,11,2839,231,240,140,2040,1,2
3021,259,9,726,49,5664,199,245,185,6280,1,2
2810,252,10,433,173,1500,197,247,188,1300,0,2
2874,18,28,242,80,1057,186,171,109,1771,0,2
3154,118,17,376,65,255,247,223,98,3839,0,2
3047,225,12,437,161,5976,203,251,184,4960,1,2
3248,208,26,404,15,2139,191,253,184,1099,1,2
2988,315,3,553,52,4357,211,237,164,4895,1,2
3084,176,16,268,31,1950,227,247,147,134,0,1
3018,340,5,752,46,5734,210,233,162,6433,1,1
3230,16,15,382,73,1113,206,207,136,2268,1,2
2867,135,4,175,13,5019,227,238,145,4295,1,2
3060,34,15,150,28,2642,216,206,121,932,0,1
2826,55,22,426,140,433,227,186,81,2474,1,2
2719,145,34,95,52,3094,244,212,67,6210,1,2
2722,60,11,30,5,2550,229,216,119,4568,1,2
3203,27,6,30,0,5544,217,226,145,920,1,1
3162,145,19,268,60,192,242,234,113,4578,0,2
2736,67,9,201,15,899,229,222,125,342,0,2
3022,18,19,830,153,2499,201,197,127,1560,0,2
3035,353,14,30,3,240,195,214,156,1577,0,2
3238,58,33,90,35,5006,223,154,38,95,1,1
2802,99,7,190,17,2099,233,230,130,2318,1,2
2954,108,22,90,28,1617,251,208,72,1530,0,2
2879,352,7,30,-1,5341,208,229,158,997,1,2
2918,105,21,153,43,285,250,210,79,1443,1,1
3504,94,19,780,219,2242,247,207,81,1473,1,1
2977,181,12,484,56,1987,224,247,155,2105,0,2
3041,135,4,30,0,5176,227,238,145,1698,1,1
3260,14,4,0,0,947,216,231,153,2168,1,1
3058,343,25,566,204,566,160,192,165,1691,1,1
3077,110,23,800,263,808,252,208,72,1211,1,1
3312,32,15,976,202,1595,216,207,124,2892,0,1
3115,255,8,210,16,1224,202,246,182,2112,1,1
3164,335,12,60,17,2806,192,223,170,953,0,2
3002,298,24,570,203,2067,145,223,215,1063,0,1
3339,98,3,67,13,1351,225,234,145,1557,0,1
2776,42,6,180,35,1612,221,227,142,2903,1,2
2968,119,12,192,40,4739,240,229,117,4489,1,2
2518,35,10,67,10,977,219,218,134,918,0,2
3277,111,17,108,43,4404,247,220,96,1104,1,1
3000,126,4,342,63,4745,227,237,144,1633,1,2
2891,21,21,134,40,1290,202,192,120,2131,0,2
