Loan_Status,Current_Loan_Amount,Term,Credit_Score,Annual_Income,Years_in_current_job,Home_Ownership,Purpose,Monthly_Debt,Years_of_Credit_History,Months_since_last_delinquent,Number_of_Open_Accounts,Number_of_Credit_Problems,Current_Credit_Balance,Maximum_Open_Credit,Bankruptcies,Tax_Liens
Fully_Paid,768394,Long_Term,651.0,1651252.0,2_years,Home_Mortgage,Debt_Consolidation,19264.67,29.2,30.0,6,0,421420,559592.0,0.0,0.0
Fully_Paid,314226,Long_Term,723.0,2638454.0,1_year,Home_Mortgage,Other,34959.43,18.2,54.0,10,0,662815,969034.0,0.0,0.0
Fully_Paid,716958,Short_Term,718.0,1934960.0,9_years,Home_Mortgage,Home_Improvements,31765.72,10.0,24.0,9,0,168815,228624.0,0.0,0.0
Not_Paid,547580,Short_Term,710.0,1125978.0,<_1_year,Rent,Debt_Consolidation,9758.4,13.8,58.0,6,0,435328,790064.0,0.0,0.0
Fully_Paid,175428,Short_Term,698.0,1136238.0,2_years,Rent,Buy_a_Car,2594.45,30.5,68.0,4,0,70832,96470.0,0.0,0.0
Fully_Paid,234806,Long_Term,689.0,866799.0,9_years,Home_Mortgage,Debt_Consolidation,3676.69,14.1,7.0,4,2,86051,167750.0,2.0,0.0
Not_Paid,25806,Short_Term,685.0,742976.0,8_years,Rent,Other,6377.16,7.1,35.0,5,0,8189,47432.0,0.0,0.0
Fully_Paid,333124,Short_Term,703.0,1300246.0,10+_years,Home_Mortgage,Debt_Consolidation,13110.76,14.6,22.0,10,0,173128,384032.0,0.0,0.0
Fully_Paid,99999999,Short_Term,736.0,1111367.0,1_year,Rent,Other,16577.88,13.5,77.0,8,0,378746,594242.0,0.0,0.0
Fully_Paid,476586,Short_Term,707.0,1403207.0,7_years,Rent,Debt_Consolidation,18241.52,13.4,11.0,6,0,91580,214654.0,0.0,0.0
Fully_Paid,261800,Short_Term,738.0,1488536.0,4_years,Rent,Debt_Consolidation,21087.72,16.5,45.0,8,0,178220,274780.0,0.0,0.0
Fully_Paid,377322,Short_Term,740.0,1288162.0,<_1_year,Rent,Debt_Consolidation,17068.08,36.3,16.0,8,0,358549,494824.0,0.0,0.0
Fully_Paid,486288,Long_Term,707.0,1654577.0,3_years,Home_Mortgage,Debt_Consolidation,22612.47,14.9,14.0,18,0,407835,821282.0,0.0,0.0
Fully_Paid,104368,Short_Term,691.0,853974.0,1_year,Rent,Debt_Consolidation,22559.08,20.0,32.0,10,1,116223,195580.0,1.0,0.0
Fully_Paid,205854,Short_Term,717.0,1898860.0,10+_years,Home_Mortgage,Debt_Consolidation,31647.73,22.3,15.0,6,0,195738,251284.0,0.0,0.0
Fully_Paid,111408,Short_Term,733.0,1154592.0,10+_years,Rent,Debt_Consolidation,18762.12,20.4,47.0,9,0,283936,465674.0,0.0,0.0
Fully_Paid,284152,Short_Term,700.0,1054519.0,10+_years,Home_Mortgage,Debt_Consolidation,15202.66,14.0,36.0,12,0,182780,366146.0,0.0,0.0
Fully_Paid,128832,Short_Term,719.0,1483520.0,10+_years,Rent,Debt_Consolidation,8381.85,30.9,38.0,4,0,36708,64372.0,0.0,0.0
Fully_Paid,152790,Short_Term,743.0,678661.0,10+_years,Rent,Debt_Consolidation,4450.94,14.0,8.0,5,1,119510,229086.0,0.0,0.0
Not_Paid,152966,Short_Term,7080.0,1334902.0,4_years,Home_Mortgage,Debt_Consolidation,10845.96,17.1,41.0,13,0,82593,302654.0,0.0,0.0
Not_Paid,83864,Short_Term,699.0,564414.0,<_1_year,Rent,Debt_Consolidation,11711.6,11.9,53.0,12,0,18639,107932.0,0.0,0.0
Fully_Paid,99999999,Short_Term,724.0,687420.0,4_years,Rent,Other,6530.49,11.1,49.0,4,0,18715,37620.0,0.0,0.0
Not_Paid,142846,Short_Term,750.0,654227.0,10+_years,Home_Mortgage,Debt_Consolidation,16246.71,17.2,16.0,9,0,53694,112662.0,0.0,0.0
Fully_Paid,504658,Short_Term,685.0,3874100.0,10+_years,Rent,Debt_Consolidation,4100.2,16.0,1.0,7,0,167827,397408.0,0.0,0.0
Fully_Paid,99999999,Short_Term,699.0,656849.0,3_years,Rent,Debt_Consolidation,3848.07,11.7,60.0,10,0,30552,198682.0,0.0,0.0
Fully_Paid,732028,Short_Term,737.0,1724193.0,10+_years,Home_Mortgage,Debt_Consolidation,32041.22,18.5,21.0,14,0,628425,1017698.0,0.0,0.0
Fully_Paid,77132,Short_Term,657.0,2093762.0,5_years,Rent,Medical_Bills,47284.16,15.9,81.0,13,0,588449,703142.0,0.0,0.0
Fully_Paid,128634,Short_Term,695.0,463657.0,4_years,Home_Mortgage,Other,9891.4,8.7,16.0,9,0,76133,134178.0,0.0,0.0
Fully_Paid,429264,Short_Term,735.0,1816571.0,8_years,Own_Home,Debt_Consolidation,34060.73,11.1,37.0,20,0,387353,1520398.0,0.0,0.0
Fully_Paid,653334,Short_Term,722.0,2068891.0,10+_years,Own_Home,Debt_Consolidation,29309.21,21.3,53.0,9,0,294291,548724.0,0.0,0.0
Not_Paid,218130,Short_Term,728.0,602832.0,5_years,Home_Mortgage,Debt_Consolidation,9142.8,17.6,26.0,10,0,202616,239888.0,0.0,0.0
Fully_Paid,541794,Long_Term,674.0,1538145.0,8_years,Home_Mortgage,Other,12766.67,33.7,64.0,9,0,300029,557634.0,0.0,0.0
Not_Paid,448404,Short_Term,746.0,1166220.0,10+_years,Home_Mortgage,Debt_Consolidation,19339.72,14.9,20.0,17,0,306907,504064.0,0.0,0.0
Fully_Paid,196108,Short_Term,715.0,865602.0,10+_years,Home_Mortgage,Debt_Consolidation,11397.34,18.8,29.0,11,1,185478,259402.0,1.0,0.0
Fully_Paid,448272,Long_Term,716.0,1045285.0,10+_years,Home_Mortgage,Debt_Consolidation,16289.08,23.0,24.0,7,0,115558,157432.0,0.0,0.0
Fully_Paid,99999999,Short_Term,721.0,805733.0,10+_years,Home_Mortgage,Debt_Consolidation,12757.55,15.9,45.0,9,0,93347,195448.0,0.0,0.0
Fully_Paid,99999999,Short_Term,746.0,456646.0,10+_years,Home_Mortgage,Other,2481.02,18.8,56.0,5,0,0,0.0,0.0,0.0
Not_Paid,224796,Short_Term,681.0,573819.0,1_year,Own_Home,Business_Loan,4925.37,11.4,20.0,6,0,115862,296780.0,0.0,0.0
Fully_Paid,401852,Long_Term,725.0,1263785.0,10+_years,Home_Mortgage,Debt_Consolidation,15059.97,15.3,39.0,6,1,58482,101376.0,1.0,0.0
Fully_Paid,273482,Long_Term,693.0,1115699.0,10+_years,Home_Mortgage,Debt_Consolidation,13667.27,15.9,51.0,6,0,65683,109758.0,0.0,0.0
Fully_Paid,323708,Short_Term,723.0,1640061.0,3_years,Rent,Debt_Consolidation,21047.44,21.2,31.0,14,0,546782,924242.0,0.0,0.0
Not_Paid,88528,Short_Term,696.0,993833.0,2_years,Rent,Debt_Consolidation,2550.94,20.8,35.0,11,0,38532,241142.0,0.0,0.0
Fully_Paid,132022,Short_Term,727.0,855095.0,7_years,Rent,Debt_Consolidation,14180.08,17.6,55.0,10,0,130131,251108.0,0.0,0.0
Fully_Paid,277948,Short_Term,707.0,1118948.0,10+_years,Rent,Debt_Consolidation,29465.58,15.7,63.0,11,1,66994,129294.0,1.0,0.0
Fully_Paid,219186,Short_Term,748.0,2233697.0,3_years,Home_Mortgage,Debt_Consolidation,14779.72,20.6,37.0,11,0,281618,939708.0,0.0,0.0
Fully_Paid,178684,Short_Term,739.0,1176727.0,2_years,Rent,Debt_Consolidation,19514.14,20.7,45.0,11,0,192337,281534.0,0.0,0.0
Fully_Paid,108526,Short_Term,743.0,1312045.0,7_years,Home_Mortgage,Other,7380.17,19.0,56.0,10,1,71953,108504.0,0.0,0.0
Fully_Paid,588544,Long_Term,687.0,1491158.0,5_years,Home_Mortgage,Debt_Consolidation,15284.36,16.3,71.0,17,0,428963,1118722.0,0.0,0.0
Fully_Paid,99999999,Short_Term,725.0,2229137.0,<_1_year,Rent,Debt_Consolidation,14656.6,19.9,8.0,6,0,125742,224334.0,0.0,0.0
Fully_Paid,391468,Short_Term,742.0,629850.0,<_1_year,Rent,Debt_Consolidation,10025.16,17.8,14.0,8,0,57570,169620.0,0.0,0.0
Fully_Paid,99999999,Short_Term,737.0,1054937.0,10+_years,Own_Home,Debt_Consolidation,15472.27,22.8,53.0,11,0,480434,881606.0,0.0,0.0
Fully_Paid,628474,Long_Term,676.0,1235741.0,10+_years,Home_Mortgage,Debt_Consolidation,26568.46,26.5,7.0,12,0,252871,603702.0,0.0,0.0
Not_Paid,765006,Long_Term,736.0,6606775.0,7_years,Own_Home,Debt_Consolidation,5780.94,24.1,43.0,11,0,369170,1978966.0,0.0,0.0
Not_Paid,141636,Short_Term,7160.0,1051175.0,1_year,Home_Mortgage,Debt_Consolidation,13227.04,12.5,18.0,12,0,151791,201322.0,0.0,0.0
Fully_Paid,334686,Short_Term,742.0,963490.0,10+_years,Home_Mortgage,Debt_Consolidation,12284.45,20.5,58.0,15,0,406220,863060.0,0.0,0.0
Fully_Paid,712404,Long_Term,618.0,6283072.0,2_years,Rent,Other,20262.93,14.7,45.0,10,1,135641,358556.0,1.0,0.0
Fully_Paid,764390,Long_Term,705.0,1603220.0,2_years,Home_Mortgage,Debt_Consolidation,34869.75,30.6,50.0,15,0,425448,1089902.0,0.0,0.0
Fully_Paid,616902,Long_Term,647.0,1405772.0,<_1_year,Own_Home,Debt_Consolidation,18626.27,17.9,64.0,4,0,317338,433818.0,0.0,0.0
Fully_Paid,99999999,Short_Term,716.0,2848575.0,<_1_year,Home_Mortgage,Home_Improvements,23263.41,31.5,10.0,14,0,371051,1053052.0,0.0,0.0
Fully_Paid,170962,Short_Term,710.0,598082.0,6_years,Rent,Debt_Consolidation,7426.15,12.8,5.0,14,0,117211,622534.0,0.0,0.0
Fully_Paid,99999999,Short_Term,704.0,1160862.0,6_years,Home_Mortgage,Debt_Consolidation,25442.14,14.8,13.0,9,0,607202,730092.0,0.0,0.0
Fully_Paid,332222,Short_Term,746.0,891119.0,3_years,Rent,Debt_Consolidation,11733.07,23.8,42.0,9,0,293683,717420.0,0.0,0.0
Fully_Paid,99999999,Short_Term,743.0,1496193.0,2_years,Home_Mortgage,Debt_Consolidation,17081.57,20.7,33.0,11,0,176567,276298.0,0.0,0.0
Fully_Paid,440132,Long_Term,676.0,1292380.0,6_years,Home_Mortgage,Debt_Consolidation,4157.2,15.6,69.0,3,0,150822,219956.0,0.0,0.0
Fully_Paid,112574,Short_Term,729.0,1555416.0,10+_years,HaveMortgage,Other,10706.5,13.7,40.0,13,0,86507,770440.0,0.0,0.0
Fully_Paid,764544,Long_Term,703.0,1697859.0,6_years,Home_Mortgage,Home_Improvements,17685.96,25.5,31.0,10,1,300789,657118.0,1.0,0.0
Fully_Paid,446336,Long_Term,683.0,1117865.0,7_years,Home_Mortgage,Debt_Consolidation,7573.59,15.9,36.0,4,1,148960,238898.0,1.0,0.0
Fully_Paid,146982,Short_Term,670.0,981578.0,10+_years,Rent,Debt_Consolidation,25030.22,22.5,76.0,19,0,532589,828872.0,0.0,0.0
Fully_Paid,533698,Long_Term,699.0,1853298.0,1_year,Rent,Debt_Consolidation,30270.61,21.6,72.0,18,0,342209,589644.0,0.0,0.0
Not_Paid,133936,Short_Term,639.0,347035.0,1_year,Home_Mortgage,Home_Improvements,6969.39,15.4,22.0,10,0,68742,151910.0,0.0,0.0
Not_Paid,47806,Short_Term,671.0,835620.0,2_years,Rent,Other,3070.97,12.8,12.0,10,0,48051,60764.0,0.0,0.0
Not_Paid,147576,Short_Term,748.0,463429.0,2_years,Rent,Debt_Consolidation,8573.56,12.9,36.0,20,0,88939,357588.0,0.0,0.0
Fully_Paid,545160,Long_Term,699.0,3954888.0,10+_years,Home_Mortgage,Debt_Consolidation,27881.93,18.1,39.0,15,0,163020,215974.0,0.0,0.0
Fully_Paid,657294,Short_Term,691.0,2270652.0,4_years,Rent,Debt_Consolidation,24031.01,11.3,40.0,12,0,405327,811998.0,0.0,0.0
Fully_Paid,99999999,Short_Term,743.0,2688462.0,1_year,Rent,Debt_Consolidation,32037.42,20.5,34.0,14,0,198094,749606.0,0.0,0.0
Fully_Paid,99999999,Short_Term,738.0,992256.0,7_years,Rent,Debt_Consolidation,15793.37,18.2,14.0,11,0,348878,738496.0,0.0,0.0
Fully_Paid,268004,Short_Term,750.0,867996.0,10+_years,Rent,Debt_Consolidation,21410.53,23.0,75.0,15,0,309776,1203664.0,0.0,0.0
Fully_Paid,776864,Short_Term,687.0,1629383.0,10+_years,Home_Mortgage,Debt_Consolidation,34895.78,19.6,63.0,24,1,481783,950334.0,1.0,0.0
Fully_Paid,662310,Short_Term,699.0,1258389.0,10+_years,Home_Mortgage,Debt_Consolidation,13213.17,17.5,64.0,8,1,302309,562782.0,1.0,0.0
Fully_Paid,353232,Short_Term,712.0,823707.0,10+_years,Home_Mortgage,Debt_Consolidation,13659.67,9.8,41.0,9,0,117496,242968.0,0.0,0.0
Fully_Paid,221056,Short_Term,741.0,954560.0,10+_years,Rent,Debt_Consolidation,9386.57,12.0,13.0,19,0,117420,229658.0,0.0,0.0
Fully_Paid,99999999,Short_Term,739.0,3095632.0,3_years,Home_Mortgage,Debt_Consolidation,41017.2,21.0,19.0,15,0,288002,508354.0,0.0,0.0
Fully_Paid,99999999,Short_Term,726.0,2311236.0,9_years,Home_Mortgage,Home_Improvements,35438.99,23.9,18.0,18,0,3528718,10189234.0,0.0,0.0
Fully_Paid,281710,Short_Term,728.0,831953.0,2_years,Home_Mortgage,Debt_Consolidation,12964.46,18.0,52.0,12,0,461415,907104.0,0.0,0.0
Fully_Paid,161656,Short_Term,749.0,874874.0,9_years,Home_Mortgage,Debt_Consolidation,12226.5,16.1,19.0,10,0,159676,394218.0,0.0,0.0
Fully_Paid,294580,Short_Term,744.0,1734624.0,10+_years,Rent,Debt_Consolidation,8051.63,17.8,6.0,12,0,229007,433290.0,0.0,0.0
Fully_Paid,39138,Short_Term,731.0,751336.0,4_years,Home_Mortgage,Home_Improvements,10894.41,10.6,27.0,11,0,77539,302302.0,0.0,0.0
Fully_Paid,260436,Long_Term,734.0,1244272.0,10+_years,Home_Mortgage,Debt_Consolidation,11924.21,28.4,26.0,12,0,189696,625812.0,0.0,0.0
Fully_Paid,264396,Short_Term,737.0,1712565.0,10+_years,Rent,Debt_Consolidation,19980.02,21.9,49.0,13,0,380665,1075052.0,0.0,0.0
Not_Paid,444752,Long_Term,7060.0,1920520.0,5_years,Rent,Debt_Consolidation,43371.68,16.1,72.0,22,0,353362,611578.0,0.0,0.0
Not_Paid,224312,Short_Term,700.0,678034.0,3_years,Rent,Debt_Consolidation,13052.24,12.8,64.0,13,0,240863,639650.0,0.0,0.0
Fully_Paid,222728,Long_Term,615.0,905160.0,1_year,Rent,Other,18706.64,16.2,49.0,9,0,64676,135432.0,0.0,0.0
Fully_Paid,450648,Short_Term,737.0,1634627.0,10+_years,Rent,Debt_Consolidation,10570.65,32.5,20.0,6,1,93252,151008.0,1.0,0.0
Fully_Paid,152372,Short_Term,697.0,845937.0,<_1_year,Rent,Debt_Consolidation,2876.22,8.8,46.0,10,0,56943,215468.0,0.0,0.0
Fully_Paid,152372,Short_Term,697.0,845937.0,<_1_year,Rent,Debt_Consolidation,2876.22,8.8,46.0,10,0,56943,215468.0,0.0,0.0
Not_Paid,234036,Short_Term,703.0,665798.0,10+_years,Home_Mortgage,Debt_Consolidation,11263.01,17.0,39.0,13,0,242098,308396.0,0.0,0.0
